Gene_Name	Num_Events	APA_ID	Transcript	Gene	Chr	LastExon.Start	LastExon.End	Strand	UTR3.Start	UTR3.End	Length	simB5.PAU	simB4.PAU	simB3.PAU	simB2.PAU	simB1.PAU	simA5.PAU	simA4.PAU	simA3.PAU	simA2.PAU	simA1.PAU
A4GNT	2	ENSG00000118017.4_1_D	L00000236709.4	ENSG00000118017.4	chr3	138122712	138124878	-	138122712	138124263	1551	75.837	59.657	72.72	68.981	67.258	14.451	13.898	15.167	14.52	14.261
A4GNT	2	ENSG00000118017.4_2_P	L00000236709.4	ENSG00000118017.4	chr3	138123712	138124878	-	138123712	138124263	551	24.163	40.343	27.28	31.019	32.742	85.549	86.102	84.833	85.48	85.739
AADACL2	2	ENSG00000197953.6_1_P	L00000356517.4	ENSG00000197953.6	chr3	151756991	151761339	+	151757594	151761339	3745	12.724	26.917	0	0	10.794	78.825	76.987	76.704	75.82	79.948
AADACL2	2	ENSG00000197953.6_2_D	L00000356517.4	ENSG00000197953.6	chr3	151756991	151762339	+	151757594	151762339	4745	87.276	73.083	100	100	89.206	21.175	23.013	23.296	24.18	20.052
AADACL4	2	ENSG00000204518.3_1_P	L00000376221.2	ENSG00000204518.3	chr1	12665960	12667076	+	12666735	12667076	341	52.287	53.278	51.965	51.999	46.736	46.961	54.452	58.512	52.395	43.483
AADACL4	2	ENSG00000204518.3_2_D	L00000376221.2	ENSG00000204518.3	chr1	12665960	12668076	+	12666735	12668076	1341	47.713	46.722	48.035	48.001	53.264	53.039	45.548	41.488	47.605	56.517
AAMP	2	ENSG00000127837.10_1_D	L00000444053.5	ENSG00000127837.10	chr2	218263128	218264608	-	218263128	218264532	1404	14.188	13.774	14.932	16.561	13.603	65.778	64.103	55.669	49.333	58.428
AAMP	2	ENSG00000127837.10_2_P	L00000444053.5	ENSG00000127837.10	chr2	218264128	218264608	-	218264128	218264532	404	85.812	86.226	85.068	83.439	86.397	34.222	35.897	44.331	50.667	41.572
AANAT	2	ENSG00000129673.10_1_P	L00000250615.7	ENSG00000129673.10	chr17	76469664	76470117	+	76469970	76470117	147	95.056	91.765	90.009	92.268	93.313	56.528	50.797	53.344	58.977	52.369
AANAT	2	ENSG00000129673.10_2_D	L00000250615.7	ENSG00000129673.10	chr17	76469664	76471117	+	76469970	76471117	1147	4.944	8.235	9.991	7.732	6.687	43.472	49.203	46.656	41.023	47.631
AAR2	2	ENSG00000131043.13_1_P	L00000680639.1	ENSG00000131043.13	chr20	36255577	36256921	+	36255745	36256921	1176	27.222	18.202	15.228	23.771	20.718	84.873	84.745	86.096	87.68	86.522
AAR2	2	ENSG00000131043.13_2_D	L00000680639.1	ENSG00000131043.13	chr20	36255577	36257921	+	36255745	36257921	2176	72.778	81.798	84.772	76.229	79.282	15.127	15.255	13.904	12.32	13.478
ABCA4	2	ENSG00000198691.13_1_D	L00000370225.4	ENSG00000198691.13	chr1	93991833	93993242	-	93991833	93993236	1403	25.568	26.256	28.802	26.032	25.358	24.897	19.453	24.732	28.305	22.822
ABCA4	2	ENSG00000198691.13_2_P	L00000370225.4	ENSG00000198691.13	chr1	93992833	93993242	-	93992833	93993236	403	74.432	73.744	71.198	73.968	74.642	75.103	80.547	75.268	71.695	77.178
ABCA8	2	ENSG00000141338.14_1_D	L00000586539.6	ENSG00000141338.14	chr17	68866288	68868183	-	68866288	68868084	1796	47.118	45.133	45.139	46.372	45.442	51.341	51.819	40.535	45.929	48.124
ABCA8	2	ENSG00000141338.14_2_P	L00000586539.6	ENSG00000141338.14	chr17	68867288	68868183	-	68867288	68868084	796	52.882	54.867	54.861	53.628	54.558	48.659	48.181	59.465	54.071	51.876
ABCB1	2	ENSG00000085563.15_1_D	L00000622132.5	ENSG00000085563.15	chr7	87502016	87504449	-	87502016	87504242	2226	78.26	76.848	76.599	76.029	78.612	27.385	33.073	31.606	33.213	33.76
ABCB1	2	ENSG00000085563.15_2_P	L00000622132.5	ENSG00000085563.15	chr7	87503016	87504449	-	87503016	87504242	1226	21.74	23.152	23.401	23.971	21.388	72.615	66.927	68.394	66.787	66.24
ABCB10	2	ENSG00000135776.5_1_D	L00000344517.5	ENSG00000135776.5	chr1	229515581	229518410	-	229515581	229518178	2597	61.025	54.322	51.504	45.294	48.461	55.189	57.37	52.31	47.483	65.054
ABCB10	2	ENSG00000135776.5_2_P	L00000344517.5	ENSG00000135776.5	chr1	229516581	229518410	-	229516581	229518178	1597	38.975	45.678	48.496	54.706	51.539	44.811	42.63	47.69	52.517	34.946
ABCB11	2	ENSG00000073734.10_1_D	L00000650372.1	ENSG00000073734.10	chr2	168919780	168923822	-	168919780	168923621	3841	58.019	57.719	59.349	54.466	58.237	57.488	58.497	54.94	57.107	57.992
ABCB11	2	ENSG00000073734.10_2_P	L00000650372.1	ENSG00000073734.10	chr2	168920780	168923822	-	168920780	168923621	2841	41.981	42.281	40.651	45.534	41.763	42.512	41.503	45.06	42.893	42.008
ABCB7	2	ENSG00000131269.19_1_D	L00000253577.9	ENSG00000131269.19	chrX	75050047	75053585	-	75050047	75053369	3322	91.278	94.276	96.351	87.881	88.553	22.478	34.475	27.518	29.506	21.627
ABCB7	2	ENSG00000131269.19_2_P	L00000253577.9	ENSG00000131269.19	chrX	75051047	75053585	-	75051047	75053369	2322	8.722	5.724	3.649	12.119	11.447	77.522	65.525	72.482	70.494	78.373
ABCB9	2	ENSG00000150967.18_1_D	L00000542678.5	ENSG00000150967.18	chr12	122927999	122930171	-	122927999	122929910	1911	90.797	92.3	90.283	86.414	93.971	32.853	27.587	29.067	33.056	28.215
ABCB9	2	ENSG00000150967.18_2_P	L00000542678.5	ENSG00000150967.18	chr12	122928999	122930171	-	122928999	122929910	911	9.203	7.7	9.717	13.586	6.029	67.147	72.413	70.933	66.944	71.785
